container_id,weight_class,weight_kg,departure_time,flow_type
1001,HEAVY,28000,2026-03-20T14:00:00Z,EXPORT
1002,MEDIUM,18000,2026-03-22T10:00:00Z,EXPORT
1003,LIGHT,8000,2026-03-18T08:00:00Z,IMPORT
1004,HEAVY,30000,2026-03-25T16:00:00Z,EXPORT
1005,MEDIUM,15000,2026-03-19T12:00:00Z,IMPORT
1006,LIGHT,6000,2026-03-21T09:00:00Z,EXPORT
1007,HEAVY,32000,2026-03-28T14:00:00Z,IMPORT
1008,MEDIUM,20000,2026-03-17T11:00:00Z,EXPORT
1009,LIGHT,9500,2026-03-23T07:00:00Z,IMPORT
1010,HEAVY,26000,2026-03-20T18:00:00Z,EXPORT
1011,MEDIUM,16000,2026-03-24T15:00:00Z,IMPORT
1012,LIGHT,7000,2026-03-19T10:00:00Z,EXPORT
1013,HEAVY,29000,2026-03-26T12:00:00Z,EXPORT
1014,MEDIUM,22000,2026-03-18T14:00:00Z,IMPORT
1015,LIGHT,5500,2026-03-22T08:00:00Z,IMPORT
1016,HEAVY,31000,2026-03-27T16:00:00Z,EXPORT
1017,MEDIUM,17000,2026-03-21T11:00:00Z,IMPORT
1018,LIGHT,8500,2026-03-20T09:00:00Z,EXPORT
1019,HEAVY,27000,2026-03-29T14:00:00Z,IMPORT
1020,MEDIUM,19000,2026-03-23T12:00:00Z,EXPORT
